CellSize,Angle
1e0,20.5
2.5e0,20.5
5e0,20.15
7.5e0,20
1e1,20
2.5e1,19
3e1,18.75
3.5e1,18.25
4e1,18
4.5e1,17.8
5e1,17.8
5.5e1,17.75
6e1,17.25
6.5e1,16.5
7e1,16.4
7.5e1,16.2
1e2,15
2.5e2,8
5e2,8
7.5e2,8
1e3,8
