CellSize,Angle
1e0,20.5
2.5e0,20.5
5e0,20.25
7.5e0,19.75
1e1,19.5
2.5e1,18.85
3e1,18.5
3.5e1,17.5	
4e1,17.25
4.5e1,17
5e1,16
5.5e1,15.75
6e1,15.75
6.5e1,15.7
7e1,15.5
7.5e1,15.4
1e2,12.5
2.5e2,9	
5e2,8
7.5e2,8
1e3,8
